userProfileID,languageID,userID
449,3,449
450,19,450
451,9,451
452,11,452
453,20,453
454,2,454
455,19,455
456,15,456
457,3,457
458,17,458
459,10,459
460,11,460
461,18,461
462,3,462
463,3,463
464,12,464
465,19,465
466,1,466
467,4,467
468,6,468
469,1,469
470,14,470
471,4,471
472,6,472
473,2,473
474,6,474
475,7,475
476,1,476
477,18,477
478,7,478
479,6,479
480,16,480
481,17,481
482,18,482
483,4,483
484,3,484
485,4,485
486,19,486
487,6,487
488,13,488
489,18,489
490,7,490
491,15,491
492,12,492
493,19,493
494,1,494
495,1,495
496,12,496
497,3,497
498,1,498
499,20,499
500,2,500
